sy,126,127,9,1,0
cc,0,0,0,0
cc,2,0,0,0
cc,3,0,0,0
cc,9,7,90,0
cc,10,0,0,0
cc,15,0,0,0
mt,ts,4,4,18,8,0
sy,127,127,4,1,0,127,0
pc,0,71,0
pc,2,58,0
pc,3,21,0
cc,9,91,0,0
pc,10,71,0
pc,15,21,0
mt,ks,-4,1,0
cc,0,7,90,0
cc,2,7,95,0
cc,3,7,100,0
cc,9,93,0,0
cc,10,7,90,0
cc,15,7,90,0
mt,st,451000,0
cc,0,91,110,0
cc,2,91,100,0
cc,3,91,90,0
cc,9,101,0,0
cc,10,91,110,0
cc,15,91,110,0
cc,0,93,10,0
cc,2,93,10,0
cc,3,93,80,0
cc,9,100,0,0
cc,10,93,10,0
cc,15,93,10,0
cc,0,101,0,0
cc,2,101,0,0
cc,3,101,0,0
cc,9,6,12,0
cc,10,101,0,0
cc,15,101,0,0
cc,0,100,0,0
cc,2,100,0,0
cc,3,100,0,0
non,9,35,80,480
cc,10,100,0,0
cc,15,100,0,0
cc,0,6,12,0
cc,2,6,12,0
cc,3,6,12,0
non,9,46,40,0
cc,10,6,12,0
cc,15,6,12,0
cc,0,10,104,0
non,2,52,64,0
cc,3,10,64,0
cc,10,10,24,0
non,15,59,64,0
nof,2,52,64,115
nof,9,46,64,0
nof,9,35,64,0
nof,15,59,64,110
non,3,64,64,15
non,9,38,80,0
non,15,64,64,0
non,3,67,64,0
non,3,71,64,0
nof,3,71,64,75
nof,3,67,64,0
nof,3,64,64,0
nof,15,64,64,30
nof,9,38,64,10
non,15,64,64,5
nof,15,64,64,105
non,2,47,64,15
non,9,35,80,0
non,15,64,64,0
non,9,46,40,0
nof,15,64,64,105
nof,9,46,64,10
nof,9,35,64,0
nof,2,47,64,0
non,15,64,64,5
nof,15,64,64,105
non,3,64,64,15
non,9,38,80,0
non,15,64,64,0
non,3,67,64,0
non,3,71,64,0
nof,3,71,64,75
nof,3,67,64,0
nof,3,64,64,0
nof,15,64,64,30
nof,9,38,64,10
non,15,66,64,5
nof,15,66,64,105
non,2,52,64,15
non,9,35,80,0
non,15,67,64,0
non,9,46,40,0
nof,15,67,64,105
nof,9,46,64,10
nof,9,35,64,0
nof,2,52,64,0
non,15,66,64,5
nof,15,66,64,105
non,3,64,64,15
non,9,38,80,0
non,15,64,64,0
non,3,67,64,0
non,3,71,64,0
nof,3,71,64,75
nof,3,67,64,0
nof,3,64,64,0
nof,15,64,64,30
nof,9,38,64,10
non,9,38,80,5
non,15,64,64,0
nof,15,64,64,105
nof,9,38,64,10
non,2,47,64,5
non,9,35,80,0
non,15,64,64,0
non,9,46,40,0
nof,15,64,64,105
nof,9,46,64,10
nof,9,35,64,0
nof,2,47,64,0
non,15,64,64,5
nof,15,64,64,105
non,3,64,64,15
non,9,38,80,0
non,15,64,64,0
non,3,67,64,0
non,3,71,64,0
nof,3,71,64,75
nof,3,67,64,0
nof,3,64,64,0
nof,15,64,64,30
nof,9,38,64,10
non,15,66,64,5
nof,15,66,64,105
non,2,52,64,15
non,9,35,80,0
non,15,67,64,0
non,9,46,40,0
nof,15,67,64,105
nof,9,46,64,10
nof,9,35,64,0
nof,2,52,64,0
non,15,66,64,5
nof,15,66,64,105
non,3,64,64,15
non,9,38,80,0
non,15,64,64,0
non,3,67,64,0
non,3,71,64,0
nof,3,71,64,75
nof,3,67,64,0
nof,3,64,64,0
nof,15,64,64,30
nof,9,38,64,10
non,15,64,64,5
nof,15,64,64,105
non,2,47,64,15
non,9,35,80,0
non,15,64,64,0
non,9,46,40,0
nof,15,64,64,105
nof,9,46,64,10
nof,9,35,64,0
nof,2,47,64,0
non,15,64,64,5
nof,15,64,64,105
non,3,64,64,15
non,9,38,80,0
non,15,64,64,0
non,3,67,64,0
non,3,71,64,0
nof,3,71,64,75
nof,3,67,64,0
nof,3,64,64,0
nof,15,64,64,30
nof,9,38,64,10
non,15,66,64,5
nof,15,66,64,105
non,2,52,64,15
non,9,35,80,0
non,15,67,64,0
non,9,46,40,0
nof,15,67,64,105
nof,9,46,64,10
nof,9,35,64,0
nof,2,52,64,0
non,15,66,64,5
nof,15,66,64,105
non,3,64,64,15
non,9,38,80,0
non,15,64,64,0
non,3,67,64,0
non,3,71,64,0
nof,3,71,64,75
nof,3,67,64,0
nof,3,64,64,0
nof,15,64,64,30
nof,9,38,64,10
non,9,38,80,5
non,15,64,64,0
nof,15,64,64,105
nof,9,38,64,10
non,2,47,64,5
non,9,35,80,0
non,15,64,64,0
non,9,46,40,0
nof,15,64,64,105
nof,9,46,64,10
nof,9,35,64,0
nof,2,47,64,0
non,15,64,64,5
nof,15,64,64,105
non,3,64,64,15
non,9,38,80,0
non,15,66,64,0
non,3,67,64,0
non,3,71,64,0
nof,3,71,64,75
nof,3,67,64,0
nof,3,64,64,0
nof,15,66,64,30
nof,9,38,64,10
non,15,66,64,5
nof,15,66,64,105
non,2,52,64,15
non,9,35,80,0
non,15,59,64,0
non,9,46,40,0
nof,9,46,64,115
nof,9,35,64,0
nof,2,52,64,0
nof,15,59,64,110
non,3,64,64,15
non,9,38,80,0
non,15,64,64,0
non,3,67,64,0
non,3,71,64,0
nof,3,71,64,75
nof,3,67,64,0
nof,3,64,64,0
nof,15,64,64,30
nof,9,38,64,10
non,15,64,64,5
nof,15,64,64,105
non,2,62,64,15
non,9,35,80,0
non,15,64,64,0
non,9,46,40,0
nof,15,64,64,105
nof,9,46,64,10
nof,9,35,64,0
