mt,ks,0,0
non,0,46,60,4
non,0,55,80,16
non,0,58,80,0
non,0,62,79,8
non,0,52,75,8
non,0,60,77,0
non,0,60,0,88
non,0,58,0,24
non,0,52,0,8
non,0,55,0,0
non,0,62,0,0
non,0,46,0,264
non,0,46,65,72
non,0,55,48,272
non,0,55,73,0
non,0,46,0,8
non,0,52,70,0
non,0,58,0,8
non,0,58,78,0
non,0,62,70,0
non,0,46,18,64
non,0,62,0,16
non,0,52,0,8
non,0,55,0,0
non,0,58,0,0
non,0,46,0,56
non,0,57,34,8
non,0,55,0,8
non,0,72,73,36
non,0,67,0,8
non,0,69,66,0
non,0,46,66,12
non,0,70,0,8
non,0,46,0,232
non,0,55,47,8
non,0,57,0,16
non,0,46,51,40
non,0,46,0,80
non,0,55,0,32
non,0,48,44,8
non,0,70,83,24
non,0,46,74,8
non,0,69,0,8
non,0,72,0,0
non,0,67,85,8
non,0,52,45,256
non,0,55,71,152
non,0,46,0,8
non,0,46,61,48
non,0,42,71,16
non,0,42,0,88
non,0,46,0,16
non,0,58,91,112
non,0,62,85,0
non,0,55,38,16
non,0,48,0,8
non,0,46,58,72
non,0,46,0,88
non,0,57,57,24
non,0,69,90,4
non,0,55,0,4
non,0,65,70,4
non,0,70,0,0
non,0,67,0,8
non,0,46,62,12
non,0,46,0,232
non,0,55,51,40
non,0,57,0,8
non,0,46,26,8
non,0,46,0,56
non,0,52,0,24
non,0,55,0,0
non,0,55,0,0
non,0,58,0,24
non,0,62,0,0
non,0,65,0,44
non,0,64,53,8
non,0,46,69,4
non,0,52,79,0
non,0,58,72,0
non,0,55,77,8
non,0,58,80,0
non,0,62,80,0
non,0,67,80,8
non,0,69,0,8
non,0,52,0,256
non,0,55,0,0
non,0,58,0,0
non,0,62,0,0
non,0,58,89,40
non,0,55,85,16
non,0,62,85,0
non,0,52,87,8
non,0,52,0,48
non,0,58,0,0
non,0,62,0,0
non,0,55,0,8
non,0,46,0,48
non,0,57,53,16
non,0,58,0,0
non,0,46,66,16
non,0,46,0,296
non,0,58,94,16
non,0,52,81,8
non,0,55,78,0
non,0,62,87,0
non,0,46,49,32
non,0,64,0,60
non,0,46,0,36
non,0,56,55,24
non,0,57,0,8
non,0,46,53,24
non,0,46,0,264
non,0,59,73,12
non,0,51,64,12
non,0,62,85,8
non,0,67,0,16
non,0,55,0,112
non,0,58,0,8
non,0,46,24,16
non,0,52,0,0
non,0,62,0,0
non,0,67,74,8
non,0,55,64,16
non,0,59,0,0
non,0,51,0,16
non,0,56,0,0
non,0,71,89,4
non,0,53,78,4
non,0,57,77,0
non,0,62,74,0
non,0,62,0,4
non,0,57,0,276
non,0,53,0,8
non,0,62,0,0
non,0,53,77,40
non,0,62,79,0
non,0,57,96,8
non,0,59,85,8
non,0,57,0,56
non,0,59,0,0
non,0,62,0,0
non,0,46,0,16
non,0,53,0,0
non,0,46,61,56
non,0,55,0,304
non,0,62,30,8
non,0,46,0,96
non,0,62,0,88
non,0,46,63,8
non,0,64,77,0
non,0,46,0,240
non,0,62,24,56
non,0,64,0,0
non,0,46,24,24
non,0,46,0,40
non,0,46,69,104
non,0,62,0,0
non,0,65,64,8
non,0,65,85,288
non,0,53,85,8
non,0,57,83,0
non,0,59,84,8
non,0,62,57,0
non,0,46,0,64
non,0,46,62,112
non,0,65,0,288
non,0,62,34,16
non,0,65,0,64
non,0,46,0,8
non,0,53,0,40
non,0,59,0,16
non,0,62,0,32
non,0,64,63,0
non,0,64,63,0
non,0,46,63,16
non,0,53,85,8
non,0,64,0,200
non,0,57,0,8
non,0,62,0,8
non,0,53,0,32
non,0,62,38,8
non,0,46,0,16
non,0,64,0,24
non,0,46,42,16
non,0,46,0,72
non,0,62,70,44
non,0,46,58,12
non,0,67,0,8
non,0,55,65,8
non,0,53,75,8
non,0,62,0,0
non,0,57,77,8
non,0,62,78,0
non,0,59,68,8
non,0,67,90,12
non,0,71,0,8
non,0,59,0,12
non,0,57,0,208
non,0,62,0,8
non,0,53,0,8
non,0,57,84,40
non,0,59,85,0
non,0,62,77,0
non,0,53,78,16
non,0,46,0,48
non,0,57,0,0
non,0,59,0,0
non,0,62,0,8
non,0,53,0,8
non,0,46,58,64
non,0,46,0,272
non,0,62,37,16
non,0,55,0,8
non,0,46,42,64
non,0,46,0,72
non,0,62,0,32
non,0,64,63,0
non,0,46,53,40
non,0,53,46,152
non,0,57,57,104
non,0,46,0,8
non,0,62,35,16
non,0,64,0,16
non,0,46,34,32
non,0,57,0,0
non,0,46,0,56
non,0,59,87,56
non,0,62,0,0
non,0,65,69,8
non,0,46,55,16
non,0,46,0,376
non,0,62,83,48
non,0,64,70,16
non,0,46,68,8
non,0,65,0,8
non,0,46,0,368
non,0,53,0,8
non,0,59,0,24
non,0,62,0,0
non,0,53,76,48
non,0,59,85,8
non,0,62,75,0
non,0,63,73,0
non,0,57,74,8
non,0,64,0,0
non,0,46,71,24
non,0,46,0,360
non,0,53,0,32
non,0,57,0,0
non,0,59,0,8
non,0,62,0,0
non,0,46,73,64
non,0,67,0,0
non,0,62,0,8
non,0,62,67,8
non,0,69,94,4
non,0,63,0,4
non,0,66,72,4
non,0,46,0,252
non,0,50,67,72
non,0,54,83,0
non,0,57,93,0
non,0,60,85,0
non,0,63,91,0
non,0,46,74,160
non,0,46,0,256
non,0,57,62,40
non,0,62,0,8
non,0,46,46,24
non,0,46,0,80
non,0,46,67,72
non,0,46,0,248
non,0,54,66,40
non,0,46,45,16
non,0,57,0,0
non,0,50,0,56
non,0,46,0,24
non,0,54,0,24
non,0,57,0,8
non,0,60,0,8
non,0,63,0,0
